日付	名称	曜日
1978-01-15	成人の日	日
1978-01-16	休日	月
1978-02-11	建国記念の日	土
1978-03-21	春分の日	火
1978-04-29	天皇誕生日	土
1978-05-03	憲法記念日	水
1978-05-05	こどもの日	金
1978-09-15	敬老の日	金
1978-09-23	秋分の日	土
1978-10-10	体育の日	火
1978-11-03	文化の日	金
1978-11-23	勤労感謝の日	木
1979-01-01	元日	月
1979-01-15	成人の日	月
1979-02-11	建国記念の日	日
1979-02-12	休日	月
1979-03-21	春分の日	水
1979-04-29	天皇誕生日	日
1979-04-30	休日	月
1979-05-03	憲法記念日	木
1979-05-05	こどもの日	土
1979-09-15	敬老の日	土
1979-09-24	秋分の日	月
1979-10-10	体育の日	水
1979-11-03	文化の日	土
1979-11-23	勤労感謝の日	金
1980-01-01	元日	火
1980-01-15	成人の日	火
1980-02-11	建国記念の日	月
1980-03-20	春分の日	木
1980-04-29	天皇誕生日	火
1980-05-03	憲法記念日	土
1980-05-05	こどもの日	月
1980-09-15	敬老の日	月
1980-09-23	秋分の日	火
1980-10-10	体育の日	金
1980-11-03	文化の日	月
1980-11-23	勤労感謝の日	日
1980-11-24	休日	月
1981-01-01	元日	木
1981-01-15	成人の日	木
1981-02-11	建国記念の日	水
1981-03-21	春分の日	土
1981-04-29	天皇誕生日	水
1981-05-03	憲法記念日	日
1981-05-04	休日	月
1981-05-05	こどもの日	火
1981-09-15	敬老の日	火
1981-09-23	秋分の日	水
1981-10-10	体育の日	土
1981-11-03	文化の日	火
1981-11-23	勤労感謝の日	月
1982-01-01	元日	金
1982-01-15	成人の日	金
1982-02-11	建国記念の日	木
1982-03-21	春分の日	日
1982-03-22	休日	月
1982-04-29	天皇誕生日	木
1982-05-03	憲法記念日	月
1982-05-05	こどもの日	水
1982-09-15	敬老の日	水
1982-09-23	秋分の日	木
1982-10-10	体育の日	日
1982-10-11	休日	月
1982-11-03	文化の日	水
1982-11-23	勤労感謝の日	火
1983-01-01	元日	土
1983-01-15	成人の日	土
